,output,input
32,8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, 0]]"
33,2,"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 0], [0, 0, 0], [0, 1, 1], [1, 1, 1], [1, 1, 0], [1, 0, 0]]"
34,6,"[[0, 0, 1], [0, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 0], [0, 1, 0], [1, 1, 0], [1, 1, 0], [1, 0, 0]]"
35,2,"[[0, 0, 1], [0, 0, 0], [1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [0, 0, 0]]"
36,3,"[[0, 0, 1], [0, 0, 0], [1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [1, 0, 0]]"
37,8,"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [0, 0, 1], [0, 0, 1], [0, 1, 0], [1, 1, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0]]"
38,0,"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [0, 0, 1], [0, 0, 1], [0, 1, 0], [1, 1, 0], [0, 1, 0], [0, 0, 0], [1, 0, 0]]"
39,8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, 0]]"
40,2,"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 0], [0, 0, 0], [0, 1, 1], [1, 1, 1], [1, 1, 0], [1, 0, 0]]"
41,6,"[[0, 0, 1], [0, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 0], [0, 1, 0], [1, 1, 0], [1, 1, 0], [1, 0, 0]]"
42,2,"[[0, 0, 1], [0, 0, 0], [1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [0, 0, 0]]"
43,3,"[[0, 0, 1], [0, 0, 0], [1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [1, 0, 0]]"
44,8,"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [0, 0, 1], [0, 0, 1], [0, 1, 0], [1, 1, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0]]"
45,0,"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [0, 0, 1], [0, 0, 1], [0, 1, 0], [1, 1, 0], [0, 1, 0], [0, 0, 0], [1, 0, 0]]"
46,8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, 0]]"
47,2,"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 0], [0, 0, 0], [0, 1, 1], [1, 1, 1], [1, 1, 0], [1, 0, 0]]"
48,6,"[[0, 0, 1], [0, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 0], [0, 1, 0], [1, 1, 0], [1, 1, 0], [1, 0, 0]]"
49,2,"[[0, 0, 1], [0, 0, 0], [1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [0, 0, 0]]"
50,3,"[[0, 0, 1], [0, 0, 0], [1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [1, 0, 0]]"
51,8,"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [0, 0, 1], [0, 0, 1], [0, 1, 0], [1, 1, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0]]"
52,0,"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [0, 0, 1], [0, 0, 1], [0, 1, 0], [1, 1, 0], [0, 1, 0], [0, 0, 0], [1, 0, 0]]"
53,8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, 0]]"
54,2,"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 0], [0, 0, 0], [0, 1, 1], [1, 1, 1], [1, 1, 0], [1, 0, 0]]"
55,6,"[[0, 0, 1], [0, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 0], [0, 1, 0], [1, 1, 0], [1, 1, 0], [1, 0, 0]]"
56,2,"[[0, 0, 1], [0, 0, 0], [1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [0, 0, 0]]"
57,3,"[[0, 0, 1], [0, 0, 0], [1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [1, 0, 0]]"
58,8,"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [0, 0, 1], [0, 0, 1], [0, 1, 0], [1, 1, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0]]"
59,0,"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [0, 0, 1], [0, 0, 1], [0, 1, 0], [1, 1, 0], [0, 1, 0], [0, 0, 0], [1, 0, 0]]"
60,8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, 0]]"
61,2,"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 0], [0, 0, 0], [0, 1, 1], [1, 1, 1], [1, 1, 0], [1, 0, 0]]"
62,6,"[[0, 0, 1], [0, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 0], [0, 1, 0], [1, 1, 0], [1, 1, 0], [1, 0, 0]]"
63,2,"[[0, 0, 1], [0, 0, 0], [1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [0, 0, 0]]"
64,3,"[[0, 0, 1], [0, 0, 0], [1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [1, 0, 0]]"
65,8,"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [0, 0, 1], [0, 0, 1], [0, 1, 0], [1, 1, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0]]"
66,0,"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [0, 0, 1], [0, 0, 1], [0, 1, 0], [1, 1, 0], [0, 1, 0], [0, 0, 0], [1, 0, 0]]"
67,8,"[[0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [0, 0, 0], [1, 1, 1], [1, 1, 1], [1, 1, 1], [1, 0, 0]]"
68,2,"[[0, 0, 0], [0, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 0], [0, 0, 0], [0, 1, 1], [1, 1, 1], [1, 1, 0], [1, 0, 0]]"
69,6,"[[0, 0, 1], [0, 0, 0], [0, 0, 1], [1, 0, 0], [0, 0, 1], [0, 0, 0], [0, 1, 0], [1, 1, 0], [1, 1, 0], [1, 0, 0]]"
70,2,"[[0, 0, 1], [0, 0, 0], [1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [0, 0, 0]]"
71,3,"[[0, 0, 1], [0, 0, 0], [1, 0, 1], [1, 0, 0], [0, 0, 1], [0, 1, 0], [0, 1, 0], [1, 1, 0], [0, 0, 0], [1, 0, 0]]"
72,8,"[[0, 0, 0], [1, 0, 0], [1, 0, 1], [0, 0, 1], [0, 0, 1], [0, 1, 0], [1, 1, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0]]"
